Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
IND,bangalore,16:30.0,946,48,126.7,245,35,01:30.0,32.64448108,29.88721787,2.757263207
IND,bangalore,16:30.0,728.6,42,95.4,210,32,16:30.0,31.24369759,28.78481403,2.458883563
IND,bangalore,31:32.5,498,38,58.6,135,27,31:30.0,30.27243173,28.39187216,1.880559573
IND,bangalore,31:30.0,705.2,44,86.6,197,32,31:30.0,31.83271913,29.42989561,2.402823514
IND,bangalore,31:30.0,790.5,48,102.6,207,34,01:30.1,32.75549958,29.90416349,2.851336087
IND,bangalore,31:30.0,943.8,50,121.8,222,33,16:30.0,33.13573247,29.90044521,3.235287261
IND,bangalore,46:30.0,1203.8,53,147,270,31,31:30.0,33.47644358,29.65783892,3.818604657
IND,bangalore,16:30.0,1066.6,49,135.7,257,30,16:30.0,32.64780829,29.11986793,3.52794036
IND,bangalore,46:30.0,909.7,42,119,217,30,16:30.0,30.99663763,28.03731034,2.959327286
IND,bangalore,16:30.0,583.4,31,75.6,151,18,16:30.0,28.28046866,26.29465036,1.985818298
IND,bangalore,16:30.0,107.5,8,15.3,39,3,16:30.0,23.0170123,22.70027548,0.316736814
IND,bangalore,31:30.0,29.8,0,10,9,0,31:30.0,19.01674014,18.52685216,0.489887979
IND,bangalore,31:30.0,16.8,0,2.3,5,0,31:30.0,17.52675802,17.13117897,0.395579055
IND,bangalore,31:30.0,4.3,0,5.9,2,0,31:30.0,16.82042799,16.41773217,0.402695816
IND,bangalore,31:30.0,0,0,0,0,0,31:30.0,16.90973298,16.47279512,0.436937862
IND,bangalore,31:30.0,3.9,0,0.1,1,0,31:30.0,17.61288673,17.15454655,0.458340173
IND,bangalore,31:30.0,28.4,0,3.9,12,0,31:30.0,18.98514426,18.04827551,0.936868754
IND,bangalore,31:30.0,72,0,18.8,16,0,31:30.0,21.08292105,19.9137666,1.169154456
IND,bangalore,31:30.0,122.2,12,16.9,31,8,31:30.0,24.19122065,22.59028566,1.600934996
IND,bangalore,31:30.0,222,29,28.4,60,21,31:30.0,28.01871004,26.07812301,1.940587037
IND,bangalore,31:30.0,572.6,46,78.6,156,35,31:30.0,32.25538343,29.32976619,2.925617241
IND,bangalore,31:30.0,1383.3,67,173.9,333,52,31:30.0,37.01710003,32.7567207,4.260379328
IND,bangalore,46:30.0,2084.2,75,245.2,465,58,46:30.0,38.86926677,34.01575286,4.853513913
IND,bangalore,16:30.0,2060.9,71,243.9,480,54,16:30.0,37.96259223,33.68357439,4.279017844
IND,bangalore,16:30.0,1310.8,56,165.4,300,38,16:30.0,34.45996687,31.51150011,2.948466767
IND,bangalore,16:30.0,1190,51,148.9,276,33,16:30.0,33.30629784,30.09310028,3.21319756
